data,ora,cliente,acconto
2024-02-28,13:32:53,stephenherrera@example.org,44
2024-01-01,12:28:17,thudson@example.net,12
2024-05-14,20:12:44,jordansmith@example.org,78
2024-02-09,10:38:37,marcia41@example.org,32
2024-02-19,14:17:51,jordansmith@example.org,17
2024-03-05,09:43:59,john16@example.net,40
2024-03-18,07:09:20,webbraymond@example.com,111
2024-01-30,14:11:42,justin16@example.net,10
2024-05-14,02:18:10,allison71@example.com,14
2024-04-02,13:17:09,davidjacobs@example.net,74
2024-05-01,11:02:45,gaymaxwell@example.net,13
2024-01-04,00:23:12,catherine24@example.net,66
2024-05-20,13:03:51,marcia41@example.org,26
2024-03-29,11:57:36,jillharris@example.org,27
2024-05-26,15:59:00,valdezsusan@example.org,5
2024-05-12,22:56:24,rebeccamiller@example.org,22
2024-01-16,20:36:48,justin16@example.net,11
2024-04-14,22:40:40,cjones@example.org,3
2024-04-06,04:22:13,hsmall@example.org,83
2024-04-18,11:12:17,webbraymond@example.com,2
2024-01-24,03:50:26,kristen85@example.com,48
2024-02-16,09:07:54,john16@example.net,9
2024-03-07,00:08:52,sydney33@example.net,80
2024-03-27,12:15:24,jillharris@example.org,33
2024-02-08,01:27:27,jordansmith@example.org,25
2024-02-02,14:37:22,kenneth77@example.net,3
2024-03-05,09:02:26,garciakathy@example.com,6
2024-01-30,11:06:25,zpayne@example.net,9
2024-03-13,17:59:36,zpayne@example.net,52
2024-05-06,10:51:45,john16@example.net,58
2024-05-09,11:12:41,andrew62@example.net,156
2024-04-09,04:58:08,lwilliamson@example.net,12
2024-01-30,19:52:08,starkbryan@example.net,53
2024-02-19,17:59:37,gaymaxwell@example.net,25
2024-04-25,22:30:49,garciakathy@example.com,31
2024-03-13,21:56:55,garciakathy@example.com,17
2024-04-25,17:01:56,kenneth77@example.net,38
2024-03-01,10:49:20,barry75@example.org,11
2024-05-12,01:29:46,john16@example.net,47
2024-03-23,03:20:35,valdezsusan@example.org,178
2024-04-10,04:07:55,john16@example.net,52
2024-03-04,09:28:53,davidjacobs@example.net,58
2024-02-14,13:14:45,santosjulie@example.org,110
2024-02-13,03:40:54,justin16@example.net,32
2024-01-02,04:10:01,rachelcoleman@example.net,11
2024-02-04,08:12:08,santosjulie@example.org,32
2024-03-31,07:39:53,garciakathy@example.com,29
2024-03-08,14:43:48,gaymaxwell@example.net,5
2024-03-31,11:39:59,davidjacobs@example.net,3
2024-02-27,03:19:37,yzamora@example.net,1
2024-05-03,06:27:25,unovak@example.net,49
2024-04-22,15:27:33,stephenherrera@example.org,21
2024-02-09,09:57:41,nrosario@example.net,5
2024-02-02,18:03:27,barry75@example.org,50
2024-05-22,11:17:29,santosjulie@example.org,85
2024-03-18,17:14:38,yzamora@example.net,12
2024-05-10,14:54:08,marcia41@example.org,25
2024-04-30,15:50:21,gaymaxwell@example.net,32
2024-01-28,03:47:39,zpayne@example.net,100
2024-02-10,21:30:33,rebeccamiller@example.org,27
2024-01-12,15:54:30,yzamora@example.net,15
2024-01-06,19:32:28,unovak@example.net,27
2024-03-31,02:12:25,webbraymond@example.com,35
2024-02-07,00:15:51,webbraymond@example.com,3
2024-03-12,05:31:13,catherine24@example.net,51
2024-04-25,21:38:59,marcia41@example.org,6
2024-05-06,19:20:54,jillharris@example.org,27
2024-01-02,07:51:48,john16@example.net,71
2024-01-14,06:24:26,hcolon@example.org,18
2024-04-22,01:22:49,garciakathy@example.com,24
